stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,alias,stop_area,stop_desc,lest_x,lest_y,zone_name,authority
137734,4420198-2,Well,59.367758,28.122562,137734,,Narva linn,,6588283.55,734268.08,,Narva LV
30617,7800875-1,Sipelga,58.19161366,26.41124524,30617,,Elva vald,"Hellenurme suunas",6452625.00,641786.12,,Tartu MV
130990,7801241-1,Verevi tee,58.37168876,26.15254239,130990,,Elva vald,"Verevi küla suunas",6472153.50,625935.90,,Tartu MV
131009,7801240-1,Toolamaa,58.52725153,26.75307278,131009,,Tartu vald,"Saadjärve, Juula suunas",6490750.00,660341.81,,Tartu MV
92479,8200574-1,Seedri,57.94796267,26.21084429,92479,,Valga vald,,6425096.50,630900.87,,Valga MV
131021,5701044-1,Asuküla,58.87055289,23.53956549,131021,,Haapsalu linn,,6525788.00,473438.96,,Lääne MV
131031,6500869-1,Varbuse mõis,58.02774906,26.9115226,131031,,Kanepi vald,"Laeva suunas",6435558.50,671978.50,,Põlva MV
28075,7800892-1,Soomeküla,58.44442497,26.62067402,28075,,Tartu linn,"Vorbuse suunas",6481223.00,652995.12,,Tartu LV
131052,21107-2,Tallinn,59.43965093,24.73600529,131052,Tallinn; Balti Jaam,Põhja-Tallinn,,6589320.50,541761.75,Harju1,Tallinna TA
132821,23240-1,Kurtna tiigi,59.22836707,24.71340179,132821,,Saku vald,,6565770.74,540729.57,Harju3,Harjumaa ÜTK
131142,7801245-1,Parapalu,58.31213618,27.38396606,131142,,Räpina vald,"Kõivusaare suunas",6468502.00,698265.62,,Põlva MV
132820,23239-1,Kurtna tiigi,59.22846587,24.7137022,132820,,Saku vald,,6565781.93,540746.61,Harju3,Harjumaa ÜTK
131178,7801198-1,Tulba rist,58.26533227,27.16507175,131178,,Kastre vald,"Liispõllu suunas",6462668.80,685696.40,,Tartu MV
26991,3700043-1,Isabella,58.94819459,22.52875911,26991,,Hiiu vald,"Lauka suund",6535273.77,415324.51,,Hiiu MV
25110,7800503-1,Maramaa,58.44612186,26.67884489,25110,,Tartu vald,"Jõgeva suunas",6481546.00,656381.81,,Tartu MV
26954,7800923-1,Tamme,58.43238213,26.55579184,26954,,Tartu linn,"Vorbuse suunas",6479736.50,649260.25,,Tartu LV
26992,3700031-1,Heiste,58.92055258,22.52416107,26992,,Hiiu vald,,6532201.35,414992.18,,Hiiu MV
147391,47367-1,Kooli talu,59.22441944,24.52340218,147391,,Saue vald,,6565231.00,529885.80,Harju3,Harjumaa ÜTK
131298,7801247-1,Kopa,58.23182055,26.73888896,131298,,Kambja vald,"Kambja suunas",6457839.00,660859.37,,Tartu MV
131299,7801248-1,Mäeküla,58.23725623,26.7142101,131299,,Kambja vald,"Kambja suunas",6458385.00,659386.25,,Tartu MV
24634,7801046-1,Vana-Kastre,58.35495219,26.90867302,24634,,Kastre vald,"Räpina suunas",6471960.00,670230.50,,Tartu MV
31488,6500544-1,Ristipalo,58.08488506,27.49214138,31488,,Räpina vald,"Võõpsu suunas",6443550.50,705915.06,,Põlva MV
135144,22363-1,Kiruvere,59.12185615,25.361166,135144,,Kose vald,,6554480.28,577948.65,Harju4,Harjumaa ÜTK
131390,5701045-1,Okase muuseum,58.94536698,23.53734155,131390,,Haapsalu linn,,6534122.00,473368.15,,Lääne MV
131404,5100664-1,Lille,58.89947051,25.48633049,131404,,Türi vald,,6529867.00,585664.06,,Järvamaa ÜTK
27082,3700148-1,Mudaste,59.01537618,22.57172012,27082,,Hiiu vald,,6542701.92,417956.03,,Hiiu MV
26234,7820175-1,Palmihoone,58.38518468,26.72287068,26234,,Tartu linn,"Kroonuaia tn. suuans",6474867.98,659225.92,TartuLinn,Tartu LV
5227,21459-1,Laasi tee,59.28243533,25.25574445,5227,,Raasiku vald,,6572247.25,571577.44,Harju3,Harjumaa ÜTK
150870,6701275-1,Kalurihall,58.39554821,24.46788528,150870,,Pärnu linn,,6472885.50,527359.87,,Pärnu MV
131475,22346-1,Rava,59.09803362,25.28524875,131475,,Kose vald,,6551741.35,573652.55,Harju4,Harjumaa ÜTK
21248,8401030-1,Vallamaja,58.35805789,25.63440615,21248,,Viljandi vald,"Viiratsi suunas",6469780.03,595665.94,ViljandiLinn,Viljandi MV
21249,8401031-1,Vallamaja,58.35807944,25.63341742,21249,,Viljandi vald,"Mustla mnt suunas",6469781.02,595608.02,ViljandiLinn,Viljandi MV
21252,8400533-1,Mäe,58.36086913,25.64420957,21252,,Viljandi vald,"Viljandi suunas",6470107.07,596231.97,ViljandiLinn,Viljandi MV
150464,4401085-1,Aa,59.41824735,27.15726465,150464,,Lüganuse vald,"Aa mõis sauunas",6590925.00,679196.31,,Ida-Viru MV
27626,3700149-1,Mudaste,59.01552789,22.57241119,27626,,Hiiu vald,"Malvaste suund",6542717.97,417996.08,,Hiiu MV
27883,3700133-1,Luidja,58.93198637,22.39166817,27883,,Hiiu vald,"Kõrgessaare-Kärdla suund",6533650.01,407392.57,,Hiiu MV
24375,8400669-1,Pingu tee,58.33893758,25.62622816,24375,,Viljandi vald,"Riia mnt suunas",6467639.44,595238.98,,Viljandi MV
28864,3700143-1,Metsavahi,58.92483876,22.09342633,28864,,Hiiu vald,"Kalana suund",6533304.10,390201.50,,Hiiu MV
29506,3700232-1,Salumetsa,58.91602897,22.14094169,29506,,Hiiu vald,"Kõpu suund",6532246.37,392909.98,,Hiiu MV
131530,4400936-1,Vironia,59.39834289,27.28522852,131530,,Järve linnaosa,,6589059.00,686562.00,,Kohtla-Järve LV
131531,4400937-1,Vironia,59.39836747,27.28496433,131531,,Järve linnaosa,,6589061.00,686546.87,,Kohtla-Järve LV
131538,4400938-1,Kohtla-Järve bussijaam,59.39791836,27.28506088,131538,Kohtla-Järve,Kohtla-Järve linn,,6589011.29,686554.80,,Kohtla-Järve LV
143165,26409-1,Okka,59.52321,25.1764,143165,,Jõelähtme vald,,6598984.35,566584.89,Harju3,Harjumaa ÜTK
131548,47201-1,Muraste kool,59.45749,24.442306,131548,,Harku vald,,6591161.45,525084.14,Harju2,Harjumaa ÜTK
131560,09908-1,Angerja,59.45039793,24.70893859,131560,,Põhja-Tallinn,,6590501.16,540213.36,Harju1,Tallinna TA
131565,10009-1,Balti jaam,59.4411697,24.7381854,131565,Tallinn; Balti Jaam,Põhja-Tallinn,,6589491.04,541883.58,Harju1,Tallinna TA
29488,6700455-1,Lepplaane tee,58.438918,24.499779,29488,,Tori vald,,6477729.28,529188.85,PärnuMVLL,Pärnu MV
131569,09912-1,Angerja,59.44995076,24.70968961,131569,,Põhja-Tallinn,,6590451.80,540256.48,Harju1,Tallinna TA
28079,7800783-1,Rootsiküla,58.60923286,27.17020101,28079,,Peipsiääre vald,"Nina suunas",6500943.50,684187.50,,Tartu MV
20003,5700470-1,Variku,59.12638,23.79594999,20003,,Lääne-Nigula vald,,6554211.06,488315.60,,Lääne MV
31649,4900328-1,Metsavahi,58.61451784,25.92389403,31649,,Põltsamaa vald,"Võisiku suunas",6498782.04,611786.94,,Jõgeva ÜTK
31650,4900326-1,Metsavahi,58.61333944,25.92475624,31650,,Põltsamaa vald,"Kolga-Jaani suunas",6498652.28,611840.79,,Jõgeva ÜTK
131622,8200753-1,Sikstina,57.96619365,26.32800514,131622,,Otepää vald,,6427360.50,637764.62,,Valga MV
27361,5100035-1,Paide bussijaam,58.886083,25.555796,27361,,Paide linn,,6528466.99,589701.56,tartu1,Järvamaa ÜTK
149469,04506-1,Pärnu maantee,59.35938015,24.63124036,149469,,Nõmme,,6580317.85,535901.61,Harju1,Tallinna TA
